,accelx,accely,accelz,mag, steps, total_t
8.5,0.47,-1.11,0.06,1.206896847,,
8.55,0.35,-0.93,0.13,1.002147694,,
8.6,0.41,-0.75,0.21,0.880170438,,
8.65,0.43,-0.8,0.29,0.953414915,,
8.7,0.29,-0.74,0.26,0.836241592,,
8.75,0.26,-1.11,0.18,1.154166366,,
8.8,0.37,-1.59,0.12,1.63688729,,
8.85,0.61,-1.26,0.37,1.447964088,,
8.9,0.48,-1.21,0.11,1.306369014,,
8.95,0.46,-1.28,-0.25,1.382931669,,
9,0.56,-1.29,-0.39,1.459383431,,
9.05,0.82,-1.16,-0.5,1.505988048,,
9.1,0.98,-0.89,-0.23,1.343651741,,
9.15,0.77,-0.62,-0.16,1.00144895,,
9.2,0.79,-0.75,0.05,1.090458619,,
9.25,0.77,-0.83,0.08,1.134988987,,
9.3,1.07,-1.03,0.35,1.525876797,,
9.35,1.03,-0.73,0.46,1.343651741,,
9.4,1.08,-0.75,0.63,1.458012346,,
9.45,0.96,-0.93,0.32,1.374372584,,
9.5,0.79,-1.17,0.2,1.42583309,,
9.55,0.61,-1.23,0.07,1.374736338,,
9.6,0.49,-1.34,0.06,1.428040616,,
9.65,0.28,-1.1,0.03,1.13547347,,
9.7,0.35,-0.83,0.16,0.914877041,,
9.75,0.45,-0.84,0.14,0.963171843,,
9.8,0.36,-0.74,0.22,0.851821578,,
9.85,0.38,-1.12,0.28,1.215401168,,
9.9,0.47,-1.05,0.46,1.238951169,,
9.95,0.41,-1.29,0.35,1.398105862,,
10,0.35,-1.15,0.09,1.205445976,,
10.05,0.49,-1.01,-0.07,1.124766642,,
10.1,0.77,-0.94,-0.08,1.217743815,,
10.15,0.81,-0.79,0,1.131459235,,
10.2,0.83,-0.61,0.03,1.030485323,,
10.25,0.95,-0.83,0.18,1.274284113,,
10.3,0.91,-0.83,0.09,1.234949392,,
10.35,0.9,-0.92,0.36,1.33641311,,
10.4,1.26,-0.99,0.44,1.661715981,,
10.45,0.92,-0.99,0.32,1.388848444,,
10.5,0.75,-1.23,0.18,1.451826436,,
10.55,0.64,-1.17,0.1,1.337348122,,
10.6,0.49,-1.08,0.03,1.186338906,,
10.65,0.39,-1,-0.02,1.073545528,,
10.7,0.32,-0.79,0.03,0.852877482,,
10.75,0.41,-0.68,0.14,0.80628779,,
10.8,0.43,-0.78,0.24,0.92244241,,
10.85,0.42,-1.03,0.34,1.163142296,,
10.9,0.46,-1.26,0.27,1.368247054,,
10.95,0.57,-0.97,0.54,1.247958333,,
11,0.45,-1.07,0.3,1.198916177,,
11.05,0.29,-0.91,0.16,0.968400743,,
11.1,0.45,-0.89,0.14,1.007074972,,
11.15,0.68,-0.86,0.17,1.109459328,,
11.2,0.63,-0.77,0.13,1.003344407,,
11.25,0.76,-0.74,0.25,1.089816498,,
11.3,0.86,-0.93,0.32,1.306483831,,
11.35,0.77,-0.87,0.32,1.205072612,,
11.4,0.99,-1.09,0.49,1.55186984,,
11.45,0.79,-1.09,0.4,1.404350384,,
11.5,0.66,-0.93,0.24,1.165375476,,
11.55,0.73,-0.98,0.17,1.233774696,,
11.6,0.61,-0.99,0.05,1.163915805,,
