,accelx,accely,accelz,mag, steps, time
10.95,0.32,-1,0.27,1.08411254,,
11,0.61,-0.99,0.38,1.22335604,,
11.05,0.89,-0.77,0.42,1.249559923,,
11.1,0.96,-0.53,0.43,1.177879451,,
11.15,1.07,-0.54,0.53,1.310496089,,
11.2,0.89,-0.87,0.35,1.292865035,,
11.25,0.71,-1.31,0.38,1.537725593,,
11.3,0.73,-1.69,0.41,1.886027571,,
11.35,0.69,-1.46,0.32,1.646238136,,
11.4,0.65,-1.58,0.24,1.725253605,,
11.45,0.49,-1.4,0.14,1.489865766,,
11.5,0.37,-0.96,0.04,1.029611577,,
11.55,0.41,-0.74,0.02,0.84622692,,
11.6,0.39,-0.66,0,0.76661594,,
11.65,0.33,-0.54,-0.04,0.634113554,,
11.7,0.35,-0.57,0.1,0.676313537,,
11.75,0.31,-0.64,0.05,0.712881477,,
11.8,0.41,-1.16,0.24,1.253515058,,
11.85,0.79,-1.68,0.59,1.947973306,,
11.9,1.04,-1.23,1.12,1.961861361,,
11.95,0.07,-1.34,0.19,1.355212161,,
12,0.02,-1.01,0.1,1.015135459,,
12.05,0.69,-0.96,0.14,1.190504095,,
12.1,1.1,-0.68,0.24,1.315294644,,
12.15,0.83,-0.51,0.28,1.013607419,,
12.2,0.84,-0.27,0.43,0.981529419,,
12.25,0.93,-0.75,0.45,1.27667537,,
12.3,0.71,-0.9,0.2,1.163658025,,
12.35,0.9,-1.67,0.45,1.949717928,,
12.4,0.58,-1.64,0.31,1.766946519,,
12.45,0.5,-1.51,0.21,1.604431363,,
12.5,0.67,-1.22,0.3,1.423832855,,
12.55,0.6,-1.09,0.2,1.260198397,,
12.6,0.42,-0.94,0.07,1.031939921,,
12.65,0.24,-0.72,0.02,0.759210116,,
12.7,0.14,-0.52,0.01,0.53860932,,
12.75,0.18,-0.53,0.06,0.562938718,,
12.8,0.21,-0.79,0.06,0.819634065,,
12.85,0.3,-1.63,-0.08,1.659307084,,
12.9,0.84,-2,-0.35,2.19729379,,
12.95,1.2,-1.59,0.47,2.046704668,,
13,0.42,-1.43,-0.32,1.524368722,,
13.05,0.62,-1.37,-0.36,1.546253537,,
13.1,0.61,-1.12,-0.5,1.369854007,,
13.15,1.25,-0.7,-0.59,1.549386976,,
13.2,1.2,-0.36,-0.31,1.290620006,,
13.25,1.05,-0.29,-0.01,1.089357609,,
13.3,1.12,-0.5,0.21,1.244387399,,
13.35,1.16,-0.81,0.28,1.442255179,,
13.4,1.58,-1.62,0.47,2.311211803,,
